acronym,name,major,college,prerequisite_text,enrollment_cnt,A_cnt,A_percentage,cardinality
EEMB 194BC,Advanced Community Ecology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,18,18,1,194
EEMB 194CB,Conservation Biology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,26,26,1,194
EEMB 194CE,Community Ecology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,33,32,0.9696969696969697,194
EEMB 194D,Plant Ecology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,163,139,0.852760736196319,194
EEMB 194EV,Evolutionary Biology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,57,57,1,194
EEMB 194M,Reproductive Ecology and Evolution,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,689,678,0.9840348330914369,194
EEMB 194T,Parasitology,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,130,129,0.9923076923076923,194
EEMB 194TE,Theoretical Ecology and Evolution,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,Upper-division standing and consent of instructor.,20,20,1,194
EEMB 197,Directed Studies,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,EEMB major; consent of department; upper-division standing; completion of two upper-division courses in MCDB or EEMB; and a 2.5 GPA in upper-division major courses.,79,78,0.9873417721518988,197
EEMB 198,Directed Readings,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,EEMB major; consent of department; upper-division standing; completion of two upper-division courses in MCDB or EEMB.,1,1,1,198
EEMB 199,Independent Studies,"Ecology, Evolution & Marine Biology - EEMB",letters_and_science,EEMB majors only; consent of instructor and department; upper-division standing; two upper-division courses in MCDB or EEMB.,270,269,0.9962962962962963,199
ECON 2,Principles of Economics-Macro,Economics - ECON,letters_and_science,Economics 1,14975,2629,0.175559265442404,2
ECON 3A,Financial Accounting,Economics - ECON,letters_and_science,"",9051,1618,0.178764777372666,3
ECON 3AH,Financial Accounting - Honors,Economics - ECON,letters_and_science,Concurrent with Econ 3A.,341,336,0.9853372434017595,3
ECON 3B,Financial Accounting,Economics - ECON,letters_and_science,Economics 3A.,5159,1163,0.22543128513277766,3
ECON 3BH,Financial Accounting - Honors,Economics - ECON,letters_and_science,Concurrent with Econ 3B.,357,353,0.988795518207283,3
ECON 5,Statistics for Economics,Economics - ECON,letters_and_science,"Math 34A-B or Math 2A-B or 3A-B; Math 34B or 2B or 3B can be taken simultaneously. Course cannot be used to satisfy any Actuarial Science, Financial Math & Statistics or Statistical Science major or minor requirements.",2944,800,0.2717391304347826,5
ECON 9,Introduction to Economics,Economics - ECON,letters_and_science,"",5259,2000,0.38030043734550295,9
ECON 10A,Intermediate Microeconomic Theory,Economics - ECON,letters_and_science,"Economics 1 and 2; Mathematics 34A-B, 2A-B, or 3A-B.",16034,3592,0.2240239491081452,10
ECON 96,Sophomore Honors Seminar,Economics - ECON,letters_and_science,Approval by the Department based on performance in Economics 1 and 2.,373,363,0.9731903485254692,96
ECON 100B,Intermediate Microeconomic Theory,Economics - ECON,letters_and_science,Economics 10A or 100A and PStat 109 or 120A.,9865,2638,0.267410035478966,100
ECON 100C,Intermediate Microeconomic Theory,Economics - ECON,letters_and_science,Economics 100B or 104B.,338,119,0.3520710059171598,100
ECON 101,Intermediate Macroeconomic Theory,Economics - ECON,letters_and_science,Economics 10A and PStat 109 or 120A.,9257,3227,0.34860105865831265,101
ECON 107A,History of Economics,Economics - ECON,letters_and_science,Economics 10A,1194,582,0.48743718592964824,107
ECON 114B,Economic Development,Economics - ECON,letters_and_science,Economics 10A or 104A,974,405,0.41581108829568786,114
ECON 115,Environmental Economics,Economics - ECON,letters_and_science,Economics 10A or 100A or 104A.,938,225,0.23987206823027718,115
ECON 116A,Industrial Organization Principles,Economics - ECON,letters_and_science,Economics 100B or 104B and 140A.,433,123,0.2840646651270208,116
ECON 118,Financial Accounting Analysis and Planning,Economics - ECON,letters_and_science,Economics 136C,4892,1433,0.2929272281275552,118
ECON 118H,Financial Accounting Analysis and Planning - Honors,Economics - ECON,letters_and_science,Concurrent enrollment in Econ 118.,799,774,0.9687108886107635,118
ECON 130,Public Finance,Economics - ECON,letters_and_science,Economics 100B or 104B; and 101 or 105.,1077,350,0.32497678737233054,130
ECON 132AH,Auditing - Honors,Economics - ECON,letters_and_science,Concurrent enrollment in Econ 132A.,259,257,0.9922779922779923,132
ECON 134C,Behavioral Finance,Economics - ECON,letters_and_science,Economics 134A,279,154,0.5519713261648745,134
ECON 135,Monetary Economics,Economics - ECON,letters_and_science,Economics 100B and 101.,2263,849,0.37516570923552806,135
ECON 136A,Intermediate Accounting,Economics - ECON,letters_and_science,"Economics 3B, 10A, and PStat 109 or 120A.",5361,1544,0.2880059690356277,136
ECON 136AH,Intermediate Accounting - Honors,Economics - ECON,letters_and_science,Concurrent enrollment in Econ 136A.,716,709,0.9902234636871509,136
ECON 136B,Intermediate Accounting,Economics - ECON,letters_and_science,Economics 136A.,5299,1449,0.27344782034346105,136
ECON 137A,Managerial Accounting,Economics - ECON,letters_and_science,"Economics 3B, 10A and PStat 109 or 120A.",5971,1994,0.3339474124937196,137
ECON 137AH,Managerial Accounting - Honors,Economics - ECON,letters_and_science,Concurrent enrollment in Econ 137A.,129,129,1,137
ECON 138A,Income Taxation,Economics - ECON,letters_and_science,"Economics 3B, and 10A or 100A, and PStat 109 or PStat 120A.",3991,1709,0.4282134803307442,138
ECON 139,Advanced Accounting,Economics - ECON,letters_and_science,Economics 136A-B.,1451,477,0.32873880082701584,139
ECON 140B,Introduction to Econometrics,Economics - ECON,letters_and_science,Economics 140A.,771,340,0.4409857328145266,140
ECON 152,Personnel Economics,Economics - ECON,letters_and_science,Economics 100B.,1349,601,0.44551519644180876,152
ECON 171,Introduction to Game Theory,Economics - ECON,letters_and_science,Economics 100B.,2817,1154,0.4096556620518282,171
ECON 174,Negotiations,Economics - ECON,letters_and_science,"Economics 100B or 104B, and 140A.",815,463,0.5680981595092025,174
ECON 176,Experimental Economics,Economics - ECON,letters_and_science,Economics 100B and 140A.,806,373,0.4627791563275434,176
ECON 181,International Finance,Economics - ECON,letters_and_science,"Economics 100B or 104B, and 101 or 105.",1332,443,0.3325825825825826,181
ECON 189,Business Law and Ethics in Accounting,Economics - ECON,letters_and_science,Economics 3B and 10A or 100A or 104A; PStat 109 or 120A.,3154,842,0.26696258719086874,189
ECON 189H,Business Law and Ethics - Honors,Economics - ECON,letters_and_science,Concurrent enrollment in Econ 189.,531,516,0.9717514124293786,189
ECON 193,Internship in Economics,Economics - ECON,letters_and_science,"",135,128,0.9481481481481482,193
ECON 196B,Senior Honors Seminar,Economics - ECON,letters_and_science,Economics 196A and ECON 140B.,141,135,0.9574468085106383,196
ECON 199,Independent Studies in Economics,Economics - ECON,letters_and_science,Upper-division standing in the major; 3.0 UD major GPA and 3.0 GPA in preceding 3 quarters; completion of 2 upper-division courses in Economics; consent of department and instructor.,33,32,0.9696969696969697,199
ECON 199RA,Independent Research in Economics,Economics - ECON,letters_and_science,Upper-division standing; completion of 2 upper-division courses in Economics; consent of instructor and department.,93,90,0.967741935483871,199
ED 99,Independent Studies,Education - ED,graduate_school,"",85,82,0.9647058823529412,99
ED 111,Introduction to Child and Adolescent Development,Education - ED,graduate_school,Consent of instructor; upper-division standing.,3281,2291,0.6982627247790307,111
ED 118,The Research University and The Transfer Student Experience,Education - ED,graduate_school,Consent of instructor; must be a new transfer student.,3388,2599,0.7671192443919717,118
ED 120,Practicum in Teaching in Higher Education,Education - ED,graduate_school,Upper-division standing; consent of instructor.,334,310,0.9281437125748503,120
ED 121,Introduction to K-12 Teaching,Education - ED,graduate_school,"",793,696,0.8776796973518285,121
ED 122,Pre-professional Work in the K-12 Classroom,Education - ED,graduate_school,"",1777,1691,0.95160382667417,122
ED 123,"Culture, Development, and Education",Education - ED,graduate_school,Consent of instructor; upper-division standing.,3271,2797,0.8550901864873127,123
ED 124,Practicum in Community Based Learning,Education - ED,graduate_school,Consent of instructor; upper-division standing.,1442,1329,0.9216366158113731,124
ED 126,"Social Connectedness, Motivation, and Self-Regulation in Education",Education - ED,graduate_school,"",796,606,0.7613065326633166,126
ED 129,"CalTeach, Elementary Science Education",Education - ED,graduate_school,"",94,62,0.6595744680851063,129
ED 130,"CalTeach, Secondary Mathematics Education",Education - ED,graduate_school,"",415,357,0.8602409638554217,130
ED 134,"Advanced Problem Solving in Mathematical, Historical and Pedagogical Contexts",Education - ED,graduate_school,Mathematics 8 with a minimum grade of C.,254,132,0.5196850393700787,134
ED 145,Introduction to Research Methods,Education - ED,graduate_school,"",266,135,0.5075187969924813,145
ED 150,Teaching and Teachers,Education - ED,graduate_school,"",629,515,0.8187599364069952,150
ED 197,Special Topics in Education,Education - ED,graduate_school,Consent of instructor.,451,394,0.8736141906873615,197
ED 199,Independent Studies,Education - ED,graduate_school,Upper-division standing; completion of 2 upper-division courses in Education; and/or consent of department.,1023,1000,0.9775171065493646,199
ED 199RA,Independent Research Assistance,Education - ED,graduate_school,Upper-division standing; completion of 2 upper-division courses in Education; and/or consent of department.,1766,1668,0.9445073612684032,199
ECE 1A,Computer Engineering Seminar,Electrical Computer Engineering - ECE,engineering,Open to computer engineering majors only.,992,988,0.9959677419354839,1
ECE 5,Introduction to Electrical & Computer Engineering,Electrical Computer Engineering - ECE,engineering,Open only to Electrical Engineering and Computer Engineering majors.,1375,1367,0.9941818181818182,5
ECE 10A,Foundations of Analog and Digital Circuits & Systems,Electrical Computer Engineering - ECE,engineering,"Mathematics 2A-B or 3A-B or Mathematics 3AH-BH, and Mathematics 4A or 4AI or 3C, all with a minimum grade of C; and, Math 4B or 4BI or 5A with a minimum grade of C (may be taken concurrently); Physics 3 or 23 (may be taken concurrently); open only to electrical engineering and computer engineering majors.",1094,528,0.4826325411334552,10
ECE 10AL,Foundations of Analog and Digital Circuits and Systems Lab,Electrical Computer Engineering - ECE,engineering,ECE 10A (may be taken concurrently) with a C- or better grade.,1336,1267,0.9483532934131736,10
ECE 10B,Foundations of Analog and Digital Circuits and Systems,Electrical Computer Engineering - ECE,engineering,ECE 10A with a C- or better grade.,1067,301,0.28209934395501407,10
ECE 10BL,Foundations of Analog and Digital Circuits and Systems Lab,Electrical Computer Engineering - ECE,engineering,ECE 10B (may be taken concurrently) with a C- or better grade.,1131,940,0.8311229000884174,10
ECE 15A,Fundamentals of Logic Design,Electrical Computer Engineering - ECE,engineering,"Open to electrical engineering, computer engineering, and pre-computer engineering majors only.",1830,644,0.3519125683060109,15
ECE 92,Projects in Electrical and Computer Engineering,Electrical Computer Engineering - ECE,engineering,Consent of instructor.,36,31,0.8611111111111112,92
ECE 120A,Integrated Circuit Design and Fabrication,Electrical Computer Engineering - ECE,engineering,ECE 132 with a minimum grade of C-.,278,169,0.6079136690647482,120
ECE 122B,VLSI Architecture and Design,Electrical Computer Engineering - ECE,engineering,ECE 124A or ECE 123 or ECE 122A with a minimum grade of C-.,32,15,0.46875,122
ECE 130A,Signal Analysis and Processing,Electrical Computer Engineering - ECE,engineering,Mathematics 4B or 5A with a minimum of grade of C; open to EE and computer engineering majors only.,1028,309,0.3005836575875486,130
ECE 130B,Signal Analysis and Processing,Electrical Computer Engineering - ECE,engineering,ECE 130A with a minimum grade of C- or better; open to EE and computer engineering majors only.,884,314,0.3552036199095023,130
ECE 137A,Circuits and Electronics I,Electrical Computer Engineering - ECE,engineering,"ECE 10A-B-C and 10AL-BL-CL or 2A-B-C, 130A and 132 all with a minimum grade of C-; open to EE majors only.",814,247,0.3034398034398034,137
ECE 141A,Introduction To Nanoelectromechanical and Microelectromechanical Systems(NEMS/MEMS),Electrical Computer Engineering - ECE,engineering,"ME 16 & 17, ME 152A, ME 151A (may be concurrent); or, ECE 130A and 137A with a minimum grade of C- in both.",60,13,0.21666666666666667,141
ECE 144,Electromagnetic Fields and Waves,Electrical Computer Engineering - ECE,engineering,ECE 134 with a minimum grade of C-.,235,135,0.574468085106383,144
ECE 145B,Communication Electronics II,Electrical Computer Engineering - ECE,engineering,ECE 145A with a minimum grade of C-; EE majors only.,131,68,0.5190839694656488,145
ECE 146A,Digital Communication Fundamentals,Electrical Computer Engineering - ECE,engineering,ECE 130A-B with a minimum grade of C-; open to EE majors only.,153,92,0.6013071895424836,146
ECE 147B,Digital Control Systems - Theory and Design,Electrical Computer Engineering - ECE,engineering,ECE 147A with a minimum grade of C-; open to EE and CE majors only.,209,126,0.6028708133971292,147
